472 :{ 39883 , 85 }
473 :{ 39969 , 80 }
474 :{ 40050 , 78 }
475 :{ 40129 , 78 }
476 :{ 40208 , 90 }
477 :{ 40299 , 92 }
478 :{ 40392 , 86 }
479 :{ 40479 , 85 }
480 :{ 40565 , 81 }
481 :{ 40647 , 85 }
482 :{ 40733 , 82 }
483 :{ 40816 , 81 }
484 :{ 40898 , 89 }
485 :{ 40988 , 86 }
486 :{ 41075 , 85 }
487 :{ 41161 , 92 }
488 :{ 41254 , 83 }
489 :{ 41338 , 80 }
490 :{ 41419 , 85 }
491 :{ 41505 , 78 }
492 :{ 41584 , 87 }
493 :{ 41672 , 82 }
494 :{ 41755 , 92 }
495 :{ 41848 , 84 }
496 :{ 41933 , 78 }
497 :{ 42012 , 84 }
498 :{ 42097 , 86 }
499 :{ 42184 , 89 }
500 :{ 42274 , 90 }
501 :{ 42365 , 91 }
502 :{ 42457 , 85 }
503 :{ 42543 , 87 }
504 :{ 42631 , 92 }
505 :{ 42724 , 90 }
506 :{ 42815 , 90 }
507 :{ 42906 , 82 }
508 :{ 42989 , 74 }
509 :{ 43064 , 92 }
510 :{ 43157 , 93 }
511 :{ 43251 , 79 }
512 :{ 43331 , 81 }
513 :{ 43413 , 83 }
514 :{ 43497 , 89 }
515 :{ 43587 , 85 }
516 :{ 43673 , 85 }
517 :{ 43759 , 85 }
518 :{ 43845 , 84 }
519 :{ 43930 , 90 }
520 :{ 44021 , 79 }
521 :{ 44101 , 84 }
522 :{ 44186 , 89 }
523 :{ 44276 , 71 }
524 :{ 44348 , 77 }
525 :{ 44426 , 69 }
526 :{ 44496 , 89 }
527 :{ 44586 , 78 }
528 :{ 44665 , 85 }
529 :{ 44751 , 78 }
530 :{ 44830 , 92 }
531 :{ 44923 , 92 }
532 :{ 45016 , 88 }
533 :{ 45105 , 77 }
534 :{ 45183 , 81 }
535 :{ 45265 , 78 }
536 :{ 45344 , 79 }
537 :{ 45424 , 81 }
538 :{ 45506 , 89 }
539 :{ 45596 , 91 }
540 :{ 45688 , 85 }
541 :{ 45774 , 83 }
542 :{ 45858 , 76 }
543 :{ 45935 , 83 }
544 :{ 46019 , 92 }
545 :{ 46112 , 84 }
546 :{ 46197 , 80 }
547 :{ 46278 , 80 }
548 :{ 46359 , 91 }
549 :{ 46451 , 90 }
550 :{ 46542 , 77 }
551 :{ 46620 , 76 }
552 :{ 46697 , 78 }
553 :{ 46776 , 77 }
554 :{ 46854 , 77 }
555 :{ 46932 , 78 }
556 :{ 47011 , 90 }
557 :{ 47102 , 77 }
558 :{ 47180 , 82 }
559 :{ 47263 , 74 }
560 :{ 47338 , 85 }
561 :{ 47424 , 76 }
562 :{ 47501 , 87 }
563 :{ 47589 , 79 }
564 :{ 47669 , 83 }
565 :{ 47753 , 80 }
566 :{ 47834 , 82 }
567 :{ 47917 , 83 }
568 :{ 48001 , 90 }
569 :{ 48092 , 82 }
570 :{ 48175 , 90 }
571 :{ 48266 , 79 }
572 :{ 48346 , 87 }
573 :{ 48434 , 83 }
574 :{ 48518 , 90 }
575 :{ 48609 , 86 }
576 :{ 48696 , 86 }
577 :{ 48783 , 90 }
578 :{ 48874 , 79 }
579 :{ 48954 , 82 }
580 :{ 49037 , 85 }
581 :{ 49123 , 86 }
582 :{ 49210 , 84 }
583 :{ 49295 , 86 }
584 :{ 49382 , 90 }
585 :{ 49473 , 87 }
586 :{ 49561 , 87 }
587 :{ 49649 , 77 }
588 :{ 49727 , 77 }
589 :{ 49805 , 77 }
590 :{ 49883 , 90 }
591 :{ 49974 , 87 }
592 :{ 50062 , 85 }
593 :{ 50148 , 77 }
594 :{ 50226 , 78 }
595 :{ 50305 , 86 }
596 :{ 50392 , 86 }
597 :{ 50479 , 81 }
598 :{ 50561 , 84 }
599 :{ 50646 , 82 }
600 :{ 50729 , 88 }
601 :{ 50818 , 84 }
602 :{ 50903 , 82 }
603 :{ 50986 , 83 }
604 :{ 51070 , 78 }
605 :{ 51149 , 82 }
606 :{ 51232 , 78 }
607 :{ 51311 , 92 }
608 :{ 51404 , 88 }
609 :{ 51493 , 92 }
